 1.000000e-03	1.066361e-17
 2.000000e-03	7.540312e-18
 3.000000e-03	6.156639e-18
 5.000000e-03	4.768912e-18
 7.000000e-03	4.030466e-18
 8.500000e-03	3.657588e-18
 1.000000e-02	3.372130e-18
 1.500000e-02	2.753333e-18
 2.000000e-02	2.384456e-18
 3.000000e-02	1.946900e-18
 4.000000e-02	1.686065e-18
 5.000000e-02	1.508062e-18
 7.000000e-02	1.274545e-18
 1.000000e-01	1.066361e-18
 1.200000e-01	9.734501e-19
 1.500000e-01	8.706802e-19
 1.700000e-01	8.178616e-19
 2.000000e-01	7.540312e-19
 2.500000e-01	6.744260e-19
 3.000000e-01	6.156639e-19
 3.500000e-01	5.699940e-19
 4.000000e-01	5.331806e-19
 5.000000e-01	4.768912e-19
 7.000000e-01	4.030466e-19
 1.000000e+00	3.372130e-19
 1.200000e+00	3.078319e-19
 1.300000e+00	2.957554e-19
 1.500000e+00	2.753333e-19
 1.700000e+00	2.586306e-19
 1.900000e+00	2.446400e-19
 2.100000e+00	2.326991e-19
 2.200000e+00	2.273490e-19
 2.500000e+00	2.132722e-19
 2.800000e+00	2.015233e-19
 3.000000e+00	1.946900e-19
 3.300000e+00	1.856296e-19
 3.600000e+00	1.777269e-19
 4.000000e+00	1.686065e-19
 4.500000e+00	1.589637e-19
 5.000000e+00	1.508062e-19
 6.000000e+00	1.376666e-19
 7.000000e+00	1.274545e-19
 8.000000e+00	1.192228e-19
 1.000000e+01	1.066361e-19
 1.200000e+01	9.734501e-20
 1.500000e+01	8.706802e-20
 1.700000e+01	8.178616e-20
 2.000000e+01	7.540312e-20
 2.500000e+01	6.744260e-20
 3.000000e+01	6.156639e-20
 5.000000e+01	4.768912e-20
 7.500000e+01	3.893800e-20
 1.000000e+02	3.372130e-20
 1.500000e+02	2.753333e-20
 2.000000e+02	2.384456e-20
 3.000000e+02	1.946900e-20
 5.000000e+02	1.508062e-20
 7.000000e+02	1.274545e-20
 1.000000e+03	1.066361e-20
 1.500000e+03	8.706802e-21
 2.000000e+03	7.540312e-21
 3.000000e+03	6.156639e-21
 5.000000e+03	4.768912e-21
 7.000000e+03	4.030466e-21
 1.000000e+04	3.372130e-21
